日付,始値,高値,安値,終値
2016-08-26,1827.24,1849.17,1827.24,1836.55
2016-08-25,1826.32,1832.43,1822.20,1829.43
2016-08-24,1823.75,1824.39,1816.00,1822.68
2016-08-23,1814.46,1826.29,1814.46,1826.14
2016-08-22,1816.73,1819.01,1802.13,1814.58
2016-08-19,1842.70,1842.92,1823.16,1824.60
2016-08-18,1829.71,1839.18,1812.90,1838.33
2016-08-17,1828.54,1834.45,1824.06,1834.23
2016-08-16,1852.11,1853.79,1828.37,1829.21
2016-08-15,1848.65,1851.78,1841.48,1851.56
2016-08-12,1847.56,1864.08,1842.23,1848.79
2016-08-10,1832.25,1847.47,1829.57,1840.12
2016-08-09,1832.91,1838.85,1827.60,1835.76
2016-08-08,1837.96,1841.42,1824.46,1834.30
2016-08-05,1841.19,1843.15,1830.20,1833.88
2016-08-04,1828.53,1848.62,1825.65,1846.19
2016-08-03,1827.95,1837.55,1820.25,1831.23
2016-08-02,1850.93,1851.26,1831.79,1842.52
2016-08-01,1871.41,1871.77,1847.59,1850.72
2016-07-29,1881.47,1891.36,1844.25,1869.32
2016-07-28,1853.12,1879.30,1849.60,1879.30
2016-07-27,1858.95,1860.41,1845.86,1849.36
2016-07-26,1858.15,1865.95,1848.31,1865.01
2016-07-25,1861.69,1862.19,1846.66,1858.01
2016-07-22,1867.38,1871.70,1842.33,1862.98
2016-07-21,1876.98,1878.23,1858.14,1869.23
2016-07-20,1865.56,1876.34,1860.69,1876.34
2016-07-19,1852.58,1864.25,1849.43,1864.25
2016-07-15,1867.35,1873.17,1849.16,1849.16
2016-07-14,1853.63,1879.09,1851.45,1876.76
2016-07-13,1868.97,1868.97,1841.26,1853.50
2016-07-12,1842.62,1869.39,1830.05,1855.10
2016-07-11,1835.43,1850.73,1827.95,1836.86
2016-07-08,1849.58,1857.26,1823.23,1823.23
2016-07-07,1837.48,1845.40,1822.98,1845.40
2016-07-06,1840.25,1843.58,1822.03,1835.63
2016-07-05,1848.93,1851.35,1842.04,1845.83
2016-07-04,1841.12,1858.12,1829.53,1851.65
2016-07-01,1848.72,1854.46,1833.03,1849.87
2016-06-30,1825.18,1859.71,1823.75,1843.66
2016-06-29,1792.94,1820.60,1777.97,1813.14
2016-06-28,1730.38,1802.26,1730.38,1799.88
2016-06-27,1757.23,1785.88,1729.56,1729.56
2016-06-24,1823.78,1825.67,1728.81,1732.29
2016-06-23,1832.15,1832.15,1805.13,1818.57
2016-06-22,1853.00,1854.84,1827.73,1827.73
2016-06-21,1844.46,1860.47,1838.89,1857.09
2016-06-20,1826.66,1852.83,1825.58,1845.62
2016-06-17,1831.43,1846.68,1817.74,1818.97
2016-06-16,1857.48,1861.88,1830.21,1830.21
2016-06-15,1837.07,1859.79,1829.96,1852.04
2016-06-14,1860.17,1868.43,1848.13,1848.13
2016-06-13,1876.02,1880.03,1868.10,1869.30
2016-06-10,1885.02,1887.42,1876.03,1884.12
2016-06-09,1880.50,1899.85,1875.85,1893.88
2016-06-08,1883.27,1884.99,1876.89,1883.73
2016-06-07,1886.00,1890.96,1879.02,1882.60
2016-06-06,1893.55,1895.61,1880.93,1891.23
2016-06-03,1880.15,1910.18,1880.01,1904.09
2016-06-02,1897.66,1900.93,1877.40,1878.42
2016-06-01,1896.41,1904.72,1889.66,1896.49
2016-05-31,1883.25,1895.71,1878.45,1895.71
2016-05-30,1876.64,1889.61,1869.32,1889.56
2016-05-27,1882.33,1887.75,1879.07,1882.75
2016-05-26,1896.50,1896.70,1871.80,1887.01
2016-05-25,1899.85,1901.08,1886.67,1901.08
2016-05-24,1885.63,1899.57,1885.63,1899.57
2016-05-23,1890.46,1890.46,1879.06,1887.60
2016-05-20,1885.44,1893.77,1875.94,1893.36
2016-05-19,1907.12,1908.29,1886.16,1890.63
2016-05-18,1916.27,1916.31,1900.81,1911.60
2016-05-17,1911.21,1922.97,1906.37,1918.60
2016-05-16,1915.99,1920.68,1903.39,1913.49
2016-05-13,1909.10,1923.54,1905.74,1910.25
2016-05-12,1915.43,1921.40,1903.81,1910.44
2016-05-11,1942.97,1948.05,1921.13,1924.74
2016-05-10,1926.51,1947.16,1915.53,1947.16
2016-05-09,1901.43,1929.85,1900.47,1927.42
2016-05-06,1912.10,1927.27,1897.22,1898.82
2016-05-02,1907.68,1913.21,1897.39,1905.86
2016-04-28,1938.30,1942.93,1894.15,1924.44
2016-04-27,1938.23,1951.03,1917.99,1935.14
2016-04-26,1978.08,1981.94,1954.73,1962.40
2016-04-25,1944.13,1978.98,1938.45,1970.72
2016-04-22,1901.54,1948.10,1901.54,1929.16
2016-04-21,1891.38,1918.21,1888.39,1913.37
2016-04-20,1885.09,1902.14,1885.09,1887.75
2016-04-19,1889.32,1901.21,1883.82,1883.82
2016-04-18,1877.16,1889.47,1876.45,1881.54
2016-04-15,1899.75,1901.97,1891.04,1893.49
2016-04-14,1895.66,1906.51,1890.09,1906.51
2016-04-13,1895.09,1898.38,1881.93,1897.38
2016-04-12,1893.57,1901.65,1887.20,1894.57
2016-04-11,1898.87,1903.00,1892.13,1898.93
2016-04-08,1890.44,1905.39,1890.44,1905.39
2016-04-07,1898.22,1914.17,1891.94,1908.29
2016-04-06,1908.96,1914.61,1898.03,1901.36
2016-04-05,1906.54,1923.91,1902.49,1922.17
2016-04-04,1862.40,1907.23,1859.64,1904.88
2016-04-01,1888.26,1889.53,1857.12,1859.75
2016-03-31,1891.04,1904.70,1880.79,1896.40
2016-03-30,1893.33,1903.11,1880.96,1893.05
2016-03-29,1893.28,1895.44,1881.01,1893.28
2016-03-28,1894.33,1897.87,1882.49,1892.96
2016-03-25,1885.46,1895.38,1882.17,1889.42
2016-03-24,1908.76,1908.76,1883.49,1890.63
2016-03-23,1929.49,1942.20,1913.28,1913.28
2016-03-22,1888.62,1927.20,1888.62,1927.20
2016-03-18,1877.68,1886.08,1867.14,1882.06
2016-03-17,1879.82,1890.07,1872.38,1879.16
2016-03-16,1873.86,1882.57,1870.40,1879.08
2016-03-15,1883.32,1890.18,1868.73,1879.89
2016-03-14,1885.12,1887.57,1870.72,1874.51
2016-03-11,1849.24,1886.41,1846.17,1886.29
2016-03-10,1874.61,1877.50,1856.93,1856.93
2016-03-09,1877.74,1885.16,1864.78,1875.15
2016-03-08,1868.15,1890.27,1868.15,1879.64
2016-03-07,1856.75,1870.49,1844.55,1870.49
2016-03-04,1854.23,1872.95,1838.74,1872.95
2016-03-03,1892.85,1903.50,1859.27,1869.95
2016-03-02,1891.79,1898.66,1886.29,1891.24
2016-03-01,1863.81,1881.95,1854.61,1877.33
2016-02-29,1889.59,1896.38,1873.29,1873.29
2016-02-26,1880.12,1905.27,1868.20,1886.58
2016-02-25,1857.53,1893.14,1857.38,1882.83
2016-02-24,1827.07,1872.06,1826.07,1865.63
2016-02-23,1841.48,1843.66,1819.43,1828.24
2016-02-22,1826.75,1861.65,1825.95,1838.30
2016-02-19,1791.38,1838.91,1784.62,1838.53
2016-02-18,1817.14,1826.20,1779.57,1786.78
2016-02-17,1825.35,1835.86,1788.10,1804.29
2016-02-16,1791.27,1869.64,1787.71,1822.94
2016-02-15,1724.10,1803.65,1723.91,1781.48
2016-02-12,1714.17,1722.50,1683.33,1690.96
2016-02-10,1779.47,1782.82,1707.75,1739.86
2016-02-09,1806.87,1824.52,1777.92,1777.92
2016-02-08,1803.46,1841.19,1803.46,1821.27
2016-02-05,1816.45,1846.60,1812.41,1821.64
2016-02-04,1830.18,1857.64,1817.28,1830.92
2016-02-03,1795.45,1839.45,1776.02,1836.39
2016-02-02,1835.39,1835.55,1806.79,1817.34
2016-02-01,1812.25,1885.80,1812.25,1848.64
2016-01-29,1693.25,1781.79,1681.11,1781.00
2016-01-28,1697.65,1698.35,1684.92,1686.53
2016-01-27,1691.56,1710.70,1691.56,1710.70
2016-01-26,1664.29,1685.78,1658.50,1682.03
2016-01-25,1643.60,1674.13,1634.47,1667.22
2016-01-22,1634.65,1645.73,1631.89,1639.30
2016-01-21,1628.25,1638.20,1607.31,1620.89
2016-01-20,1657.02,1669.85,1632.75,1635.52
2016-01-19,1658.31,1659.07,1637.20,1655.42
2016-01-18,1645.56,1666.86,1634.82,1657.27
2016-01-15,1680.33,1685.38,1658.28,1663.48
2016-01-14,1661.71,1675.63,1655.27,1670.99
2016-01-13,1654.22,1678.69,1654.13,1675.54
2016-01-12,1656.92,1669.91,1641.07,1645.16
2016-01-08,1688.23,1700.18,1675.91,1682.84
2016-01-07,1709.20,1713.41,1697.19,1704.86
2016-01-06,1721.34,1735.24,1708.16,1714.52
2016-01-05,1716.19,1720.22,1701.38,1717.51
2016-01-04,1740.24,1740.39,1711.96,1728.29
